Feature,GradientBoosting_Importance,GradientBoosting_SHAP
macd_signal,0.10914274277378619,0.0001859878613602675
atr_ratio,0.06157890780578229,0.00018510582490046014
roc_10,0.0775623939318023,0.0001692769416643207
historical_volatility_30,0.06138879353229509,0.0001669993797049091
dist_from_high_20,0.03698462678199163,0.0001523500885278195
rsi,0.016982339946233976,7.977486783326032e-05
volume_ma20,0.011159985559088951,7.065397471458512e-05
volume_change_3,0.0024430752100734754,5.42567989019841e-05
adx,0.04684798118875248,4.334197847256912e-05
di_minus,0.014734863970471518,4.0095510236985876e-05
volume_ratio_50,0.01756369282258668,2.8085769996149127e-05
stoch_diff,0.01116550580565768,2.7848331196254417e-05
obv_ratio,0.04127448837744975,2.697246913208616e-05
volume_ma50,0.020638907863300988,2.279805296334898e-05
volume_change_1,0.007981311513869162,2.0399586692367505e-05
rsi_ma5,0.016861588858621008,1.9598903146665508e-05
di_plus,0.024344377117713315,1.747082119253703e-05
atr_pct,0.049828439662696844,1.6149077994114396e-05
roc_20,0.031689835325308335,1.3536215324520337e-05
dist_from_low_20,0.0019528433968837506,1.331629082611144e-05
senkou_span_a,0.014948524835567913,1.3026639325455105e-05
price_change_5,0.03200739959859398,1.1278442668363704e-05
donchian_high_20,0.041335528286636294,8.871754483647886e-06
price_sma20_ratio,0.003510713749372471,3.183937433721658e-06
stoch_k,0.002717184794452154,3.1327535291448513e-06
stoch_rsi_d,0.00640819593122794,2.6073618895761674e-06
cci,0.0007133835810202305,2.115017350609328e-06
williams_r,0.005996238201715471,1.525747806643122e-06
supertrend,0.026335987494064992,1.3111737466551172e-06
atr_ma100,0.0035174663967141428,1.1306668233986273e-06
price_change_1,0.0028532377546124582,1.1264054580755499e-06
log_return,0.0008975955271612357,1.0903502341871065e-06
bb_width,0.0004680722349492345,6.181777892079134e-07
cmf,0.0007499589288592004,2.3201738814035213e-07
sma50,0.004530126513579086,1.0445776596882685e-07
vwap_ratio,0.007249929954622717,4.580972294548152e-08
ema9,0.004591611802056249,1.4113294481569703e-08
stoch_rsi_k,0.0008931635205793322,0.0
kijun_sen,0.0,0.0
supertrend_direction,0.0,0.0
tenkan_sen,0.016297298059868515,0.0
bb_pct,0.0009375438107268601,0.0
bb_upper,0.0013733858818448406,0.0
obv,0.0242547602374346,0.0
bb_lower,0.014698320962348476,0.0
volume_ratio_20,0.005634125512358084,0.0
macd_diff,0.0,0.0
vwap_24,0.0,0.0
mfi,0.0,0.0
atr,0.0,0.0
price_ema9_ratio,0.0007109396413899621,0.0
stoch_d,0.03556693890686157,0.0
sma20,0.0014923666852680482,0.0
sma100,0.0,0.0
macd,3.8254915569768166e-07,0.0
ema9_ratio,0.010775828911310733,0.0
donchian_low_20,2.812316189726295e-06,0.0
roc_5,0.00018281666696542265,0.0
roc_3,0.03163042145327687,0.0
donchian_width,0.009532132092905887,0.0
price_vs_kumo,0.0012305730809305246,0.0
price_sma50_ratio,8.847475952379037e-05,0.0
price_change_3,0.014312844965213196,0.0
obv_ma20,0.009427012956276699,0.0
