Feature,LightGBM_Importance,LightGBM_SHAP
historical_volatility_30,195,0.0005278943481461568
volume_ma20,121,0.0004151599469122395
macd_signal,211,0.0004091830441621152
atr_ratio,200,0.0003123041760156225
bb_width,93,0.000274789021313483
di_minus,57,0.00024065653312026094
adx,177,0.00023051736986500734
atr_pct,90,0.00014958406903924488
volume_ma50,50,0.00012989557627752726
donchian_width,92,0.00011437904184792761
volume_ratio_20,52,0.00010680866951567803
senkou_span_a,56,0.00010640850816821886
di_plus,85,0.00010399995572027422
volume_change_3,68,0.00010212935806349987
atr_ma100,139,9.136233531358457e-05
rsi,47,8.17726153768959e-05
price_ema9_ratio,26,7.426931222388073e-05
stoch_rsi_d,62,7.36827594889374e-05
supertrend,72,7.094201703672519e-05
obv_ratio,99,5.377922821463015e-05
cmf,56,5.355992292529785e-05
stoch_rsi_k,45,4.3312148098702655e-05
roc_20,47,4.020250652776109e-05
dist_from_low_20,29,3.667462498711339e-05
dist_from_high_20,42,3.5271337832967115e-05
price_sma50_ratio,25,3.5120614160953806e-05
volume_ratio_50,96,3.446909872535807e-05
price_vs_kumo,50,3.4371233157808016e-05
rsi_ma5,28,3.345408968290678e-05
price_change_1,33,3.162742660473734e-05
vwap_ratio,52,3.1075004505832613e-05
bb_pct,15,2.8077937117764413e-05
bb_upper,41,2.6811109652963363e-05
ema9_ratio,26,2.6377507816500424e-05
price_change_5,59,2.4993918954801807e-05
price_change_3,47,2.235988743668573e-05
mfi,21,2.1141099854769093e-05
stoch_diff,51,2.0298308238488334e-05
macd,48,1.9989459608102327e-05
macd_diff,43,1.9532743064704614e-05
cci,24,1.8591616271474792e-05
donchian_high_20,23,1.6916606348954745e-05
bb_lower,51,1.6057111163229564e-05
atr,64,1.4910264038749179e-05
sma100,26,1.459945003615919e-05
stoch_k,15,1.2783504298602563e-05
stoch_d,15,1.2642525085730481e-05
sma50,51,1.2394380471591195e-05
sma20,31,9.489694916455587e-06
price_sma20_ratio,25,9.193961602745901e-06
volume_change_1,33,8.129165853276511e-06
roc_10,49,7.910849554967869e-06
donchian_low_20,59,6.943474170266403e-06
tenkan_sen,35,3.997870426338191e-06
ema9,62,3.1623308165129053e-06
kijun_sen,7,1.3251540376926687e-06
obv_ma20,132,2.4524623566952576e-07
vwap_24,17,1.832480163956575e-08
obv,95,1.3313267642739897e-08
log_return,0,0.0
supertrend_direction,0,0.0
roc_5,0,0.0
roc_3,0,0.0
williams_r,0,0.0
