Feature,RandomForest_Importance,RandomForest_SHAP
atr_ratio,0.08379669698924323,0.00023392373009024743
macd_signal,0.0721295520967281,0.00013485343492760163
volume_ma20,0.013172083587974458,6.705218014587702e-05
roc_10,0.05839789037542823,6.482406082610223e-05
rsi,0.012539587546824202,6.343193361022547e-05
adx,0.0330107194765831,3.828765541823704e-05
senkou_span_a,0.012929491115084735,2.6504211740819118e-05
volume_ratio_20,0.01631371292376587,2.5008526581575343e-05
volume_ratio_50,0.019593777938094668,2.4847950812684345e-05
obv_ratio,0.04448913601330138,2.418054275444486e-05
sma50,0.008112555182070037,2.2417217299968623e-05
sma100,0.0107669173878592,2.2018940595529786e-05
volume_change_1,0.019779160242390438,2.2011273784337872e-05
atr_pct,0.06583029068350649,2.010166805795879e-05
dist_from_high_20,0.02238373869264051,1.9674153590561864e-05
supertrend,0.037286697759524916,1.945675220412197e-05
stoch_diff,0.024543839498700412,1.825856072334245e-05
historical_volatility_30,0.03455736970479689,1.7905476837466673e-05
volume_change_3,0.009319972842117283,1.732041896049458e-05
donchian_high_20,0.013427854816214483,1.7095640598079046e-05
di_minus,0.010716030543990701,1.6865960338701816e-05
mfi,0.009628035583024736,1.3690407635059516e-05
atr,0.03593504558950976,1.362596115228931e-05
kijun_sen,0.002355418744923626,1.2834957826003696e-05
bb_width,0.0074932447655220065,1.1221176582933519e-05
di_plus,0.004133910161708195,9.85086823100667e-06
atr_ma100,0.01593227101084815,9.430868377155158e-06
price_vs_kumo,0.018295338988902347,8.770383030911399e-06
stoch_rsi_d,0.012938501691004673,6.6363212357489105e-06
price_sma20_ratio,0.006183387843974457,6.613395276646198e-06
donchian_width,0.009959450635933597,6.501654071379274e-06
bb_lower,0.022503387472217744,6.209914117942458e-06
price_sma50_ratio,0.005427817176370867,5.887098787264117e-06
volume_ma50,0.012161958840128658,5.530562863429616e-06
vwap_ratio,0.008180445774047444,5.120703143033886e-06
cmf,0.01376519898543543,4.986446106473092e-06
rsi_ma5,0.010135785412552433,4.744037925570906e-06
stoch_rsi_k,0.007851365601546423,4.649668646383221e-06
macd_diff,0.0080463000118468,4.643186043650257e-06
roc_20,0.00677504375696147,4.178659960771274e-06
cci,0.0038412190145654876,3.0148015960300385e-06
roc_5,0.005292023755705989,2.821319506108826e-06
stoch_k,0.00212408427348243,2.5810000722035604e-06
bb_upper,0.00555591281363062,2.4743960762716788e-06
vwap_24,0.002406433566165947,2.3250592795258374e-06
stoch_d,0.022568453990356226,2.211049741082408e-06
price_change_1,0.005305277839822956,2.1729650806072775e-06
price_change_3,0.016849760264635697,1.8152375581186853e-06
log_return,0.00614713192488856,1.5545328428394304e-06
donchian_low_20,0.0023679214939354765,1.5405261645721296e-06
bb_pct,0.0024951455745287022,1.2722010953298593e-06
ema9,0.006098131804740538,1.12371086574535e-06
price_ema9_ratio,0.0010151566919446098,1.1106416079089528e-06
roc_3,0.008069756763969729,8.481546225665751e-07
ema9_ratio,0.002210980598984283,8.041188556684379e-07
dist_from_low_20,0.008848599850855217,7.987001122340056e-07
williams_r,0.003802178593240714,7.895210457802639e-07
macd,0.0027387085056763028,3.5528329125754594e-07
obv,0.02869968693741144,2.2152503821259886e-07
tenkan_sen,0.007216274419610207,5.4720313876142955e-08
sma20,0.00037949716988952456,1.0480661819288568e-08
supertrend_direction,0.0,0.0
obv_ma20,0.010037831617221231,0.0
price_change_5,0.005130849071440054,0.0
