Feature,XGBoost_Importance,XGBoost_SHAP
volume_ma20,0.114406206,3.167058824863964e-05
sma100,0.03482943,9.177393780147006e-06
volume_ma50,0.073852055,7.4295950585571135e-06
donchian_high_20,0.04340669,5.957989474501443e-06
atr_pct,0.035677556,4.657904579657509e-06
adx,0.058684297,4.501750352537623e-06
mfi,0.06842104,3.6416496209067056e-06
senkou_span_a,0.009743057,3.508538794933839e-06
donchian_low_20,0.018495401,3.182110817890732e-06
di_plus,0.026602829,1.389940406482779e-06
atr_ratio,0.02936517,8.688066425320465e-07
bb_lower,0.008639701,6.359919424745672e-07
stoch_d,0.006155606,5.949811531363881e-07
historical_volatility_30,0.051072184,3.3079360980962647e-07
rsi,0.0091541605,3.0462470964110486e-07
sma50,0.0010437075,1.7051415505431892e-07
supertrend,0.0067185806,1.4214892984499733e-07
vwap_ratio,0.040313173,5.112624187881672e-08
macd_diff,0.022101933,4.6734328379788575e-08
dist_from_high_20,0.0373707,1.932895608275228e-08
donchian_width,0.03671941,1.9223158826089863e-08
price_sma20_ratio,0.038526103,7.902831498757041e-09
obv,0.0067624194,1.4165763876846544e-09
sma20,0.03956309,0.0
stoch_diff,0.0,0.0
rsi_ma5,0.019764835,0.0
supertrend_direction,0.0,0.0
stoch_k,0.0,0.0
stoch_rsi_d,0.0,0.0
stoch_rsi_k,0.0,0.0
roc_3,0.0,0.0
tenkan_sen,0.0,0.0
volume_change_1,0.0,0.0
volume_change_3,0.05350985,0.0
volume_ratio_20,0.0,0.0
volume_ratio_50,0.0,0.0
vwap_24,0.0,0.0
roc_5,0.0,0.0
price_change_5,0.0,0.0
roc_20,0.0,0.0
kijun_sen,0.0,0.0
atr_ma100,0.0,0.0
bb_pct,0.0,0.0
bb_upper,0.034665734,0.0
bb_width,0.021024741,0.0
cci,0.0,0.0
cmf,0.0,0.0
di_minus,0.0,0.0
dist_from_low_20,0.0,0.0
ema9,0.0,0.0
ema9_ratio,0.0,0.0
log_return,0.0,0.0
roc_10,0.0,0.0
macd,0.0,0.0
macd_signal,0.0,0.0
obv_ma20,0.053410314,0.0
obv_ratio,0.0,0.0
price_change_1,0.0,0.0
price_change_3,0.0,0.0
atr,0.0,0.0
price_ema9_ratio,0.0,0.0
price_sma50_ratio,0.0,0.0
price_vs_kumo,0.0,0.0
williams_r,0.0,0.0
