Feature,GradientBoosting_Importance,GradientBoosting_SHAP
atr_ma100,0.0862093115227524,0.002545399752101498
sma100,0.09975683440858554,0.0016509338908551963
donchian_width,0.03856320888107581,0.001620444326443594
bb_lower,0.018045509863839418,0.0016202860332372915
volume_ma50,0.024152963866429115,0.0009392613440112505
sma20,0.01975859246464682,0.0008933484057629825
roc_20,0.016951928731663946,0.0008647298411469164
kijun_sen,0.007602006773064089,0.0008350597276053081
volume_ma20,0.021969412153937908,0.0007369773391954797
macd_diff,0.04095191755659478,0.0006333021097639476
obv,0.019007361253306727,0.0006199030702238366
cmf,0.024012995191546323,0.0006054293363208735
obv_ma20,0.02625351317007345,0.0005895722741876436
bb_upper,0.015610256906373519,0.00044597148078890855
macd_signal,0.019163265933139922,0.0004185434126751565
sma50,0.025760104951219092,0.0004178727666176807
adx,0.019890970934501716,0.00041450349220295416
ema9,0.015836213111418234,0.00041423208378879724
bb_width,0.021033573736819113,0.0004133774929048218
supertrend,0.03679450573768465,0.00037098087699194193
tenkan_sen,0.010969141060832653,0.00034477916386826176
di_plus,0.010151441894250504,0.0003345886456721791
atr_pct,0.01379902872144805,0.00033165031447273974
atr_ratio,0.03467349440357946,0.0003294199922928675
atr,0.014728542694438173,0.0003202623588729206
senkou_span_a,0.012168231526140754,0.00030582744142337604
stoch_diff,0.019170376322052318,0.0002997042607904211
price_ema9_ratio,0.01969722930078696,0.0002900978996119064
ema9_ratio,0.021792695053622014,0.0002646251670981227
rsi_ma5,0.012884966878141243,0.0002499592012934073
vwap_ratio,0.006254867015629444,0.00024843119890394146
mfi,0.013231911447944323,0.00024054348927552197
historical_volatility_30,0.015525450795715103,0.0002317535579733394
donchian_high_20,0.0032981987979226225,0.00022964104530443107
dist_from_low_20,0.004136972617644521,0.00021053194878862467
price_vs_kumo,0.004760250689961731,0.00018591149140974742
vwap_24,0.009981500539067165,0.0001835014075237019
price_change_5,0.014508382769276467,0.0001702502901029679
dist_from_high_20,0.006569502195276823,0.00016188300892979113
stoch_rsi_d,0.005339270600090563,0.00014885241234721794
roc_3,0.008970959634973902,0.00013925705438701236
williams_r,0.005630557354926128,0.00013742110058158056
obv_ratio,0.005857571923214077,0.00013727778863542898
price_sma50_ratio,0.006272863056459634,0.0001323911721981241
di_minus,0.007908895705938822,0.0001247411683819102
bb_pct,0.012223580209455288,0.00011908235950695628
stoch_k,0.006768726067931,0.00011796476380185328
roc_5,0.010349434017370419,0.00011335115767066012
stoch_d,0.004383143184788936,9.473109847636721e-05
rsi,0.003987401279838236,9.441193470005947e-05
log_return,0.005239244330174569,9.238403771958638e-05
price_change_3,0.01110409324058694,9.225601989296318e-05
volume_change_1,0.008195681088869798,8.481217473161709e-05
price_change_1,0.003938713075437472,8.22720491961886e-05
macd,0.0033873604385003227,8.176841198377428e-05
cci,0.0051976434316337505,8.124853219060337e-05
volume_change_3,0.005495924480963018,8.007586696945282e-05
volume_ratio_50,0.006189125008790951,6.704148826697142e-05
roc_10,0.008135914040083026,6.50693343168065e-05
stoch_rsi_k,0.008210590973498312,6.177996588940209e-05
donchian_low_20,0.005438285371314825,5.366462871817935e-05
volume_ratio_20,0.002349579814581271,5.264569748123156e-05
price_sma20_ratio,0.003798809798175936,3.5258630348634286e-05
supertrend_direction,0.0,0.0
