Feature,LightGBM_Importance,LightGBM_SHAP
sma100,63,0.0016482630524835109
roc_20,39,0.001091805971933983
atr_ma100,58,0.0010282841448369232
ema9_ratio,22,0.0010186066341635598
atr_pct,56,0.0010049208134429138
volume_ma50,50,0.0009893238974490297
cmf,48,0.0009636929234380101
bb_lower,43,0.0007475522683615981
sma50,37,0.0006171043695464372
price_change_1,26,0.000601615434954846
macd_diff,31,0.0005769063585788449
donchian_width,24,0.0005313355241127132
supertrend,36,0.0005194108308275965
ema9,36,0.0005038322878702977
obv_ma20,33,0.0004890896633590987
bb_pct,20,0.0004719458276049777
adx,25,0.00045399878952952693
kijun_sen,21,0.00043301282381271795
sma20,15,0.00042945114929841415
historical_volatility_30,31,0.0004262145419753051
bb_width,38,0.0004107917449326759
di_plus,22,0.0003695920065345731
stoch_k,36,0.00035633348048243413
macd_signal,35,0.00033356885865995674
stoch_rsi_d,20,0.00033329596323850073
vwap_24,8,0.00031758199006756525
vwap_ratio,13,0.00030926197390407497
bb_upper,29,0.0003056134418305604
volume_ma20,37,0.00029498515634978977
donchian_high_20,8,0.00027697295054058196
stoch_d,17,0.00026860586403762177
atr,22,0.00026804549821751055
mfi,31,0.000258724612022727
rsi_ma5,27,0.0002559190133348168
macd,15,0.00023238715057483428
rsi,18,0.00022323294072600935
dist_from_high_20,20,0.00022209661505369493
stoch_diff,16,0.00022038720847616735
donchian_low_20,5,0.0002202472123616618
atr_ratio,23,0.00021224780266997537
obv_ratio,31,0.00020500320615029265
roc_10,21,0.00018995728278349205
price_change_5,22,0.00017837435995298327
senkou_span_a,21,0.00017657292376813184
volume_ratio_50,23,0.00017611448821173553
price_change_3,24,0.00017378179138894303
dist_from_low_20,19,0.00017363140371189957
di_minus,10,0.00015787384939895793
price_ema9_ratio,22,0.00015040176201706993
cci,7,0.00014539131000672906
stoch_rsi_k,15,0.00013969400753581214
price_sma50_ratio,12,0.000139593738720801
obv,8,0.0001229109457034605
tenkan_sen,10,0.00012273336667647638
price_sma20_ratio,5,0.0001015344836464307
volume_change_3,17,9.577904516583851e-05
volume_ratio_20,9,9.258669319304993e-05
price_vs_kumo,10,7.895912340691216e-05
volume_change_1,7,5.35015309275426e-05
supertrend_direction,0,0.0
log_return,0,0.0
roc_5,0,0.0
roc_3,0,0.0
williams_r,0,0.0
