Feature,RandomForest_Importance,RandomForest_SHAP
sma100,0.07623241477309929,0.0006065588011522972
supertrend,0.08283272311392811,0.0002711288727022149
ema9_ratio,0.024281821940534423,0.00024341091185606223
vwap_24,0.032892978219408904,0.00019379428076704
donchian_width,0.043626497441959025,0.00016974284203210167
price_ema9_ratio,0.025259479072502346,0.00016909363313713348
price_vs_kumo,0.04117109149660475,0.00014992783899352676
cmf,0.03775903429951725,0.0001447296267232684
tenkan_sen,0.023116118074627587,0.00014423621380039328
atr_ma100,0.03057154119307884,0.00014224561592245978
price_change_3,0.03917743173511075,0.00013468164617554116
sma50,0.017759194003384906,0.00010484003147212203
ema9,0.023029583258903412,0.00010177545643444178
senkou_span_a,0.026713465881710384,9.722980388395558e-05
dist_from_high_20,0.01859527803594625,9.481035984074698e-05
macd_diff,0.06932353444723814,9.287592824181079e-05
sma20,0.010501567386095069,9.07510453902349e-05
roc_3,0.025034138906351238,8.393875510530761e-05
kijun_sen,0.0141006146901518,7.67364626665829e-05
volume_ratio_50,0.029600440266524808,6.782684001184381e-05
di_minus,0.011680123351758283,6.316877909803046e-05
bb_pct,0.020824742059800762,5.7971526303812995e-05
donchian_low_20,0.011593577427222867,5.525556611592675e-05
dist_from_low_20,0.013571379822685454,4.8209936912110806e-05
atr_pct,0.010012647519632987,4.64029033840115e-05
macd_signal,0.012373020138023194,4.152386800446238e-05
stoch_diff,0.0170185246612576,3.778166335180732e-05
bb_upper,0.01132299822916192,3.693289423160991e-05
price_change_1,0.006630924584073805,3.623744344616792e-05
vwap_ratio,0.00807466083235762,3.095244584348629e-05
price_change_5,0.010244064328005648,2.958467824944525e-05
volume_ratio_20,0.023170190737145265,2.6609573649100338e-05
donchian_high_20,0.003226287200289461,2.4020381289364272e-05
atr,0.0047087476956084095,2.2901934098349952e-05
stoch_rsi_d,0.0051932929676466455,2.2811861004767526e-05
obv_ma20,0.0041605378610357555,2.256753442279895e-05
volume_ma20,0.004923277275068098,2.18925597028839e-05
atr_ratio,0.009643147838283751,2.1878234762700266e-05
roc_20,0.005765797618122844,2.102733363968271e-05
rsi_ma5,0.006934276699679719,2.0961163626242497e-05
bb_lower,0.005679142863677667,2.0249668837476657e-05
volume_change_1,0.007166088072620817,2.0034550240461293e-05
cci,0.005941074263045525,1.847413617004454e-05
roc_5,0.007252716538720681,1.7526812467312955e-05
stoch_rsi_k,0.006660152330210264,1.643432162658947e-05
volume_ma50,0.008499713341894427,1.5923945602434526e-05
price_sma20_ratio,0.003681601676911725,1.5206378316710214e-05
adx,0.005253361622335677,1.4802504754993394e-05
macd,0.007129492911561756,1.3692590912699894e-05
roc_10,0.007246407451463508,1.3483491427462145e-05
price_sma50_ratio,0.008504296363106158,1.2305809990337965e-05
mfi,0.006265570664496679,1.1596584320978932e-05
rsi,0.0024046538857346133,9.818907672404758e-06
williams_r,0.0032326063616107694,8.870338408368874e-06
di_plus,0.0031102504537330886,8.588995997181372e-06
bb_width,0.002631130400645772,7.023053100323826e-06
stoch_d,0.0026305651305532246,6.975144536868953e-06
obv,0.007018300495673036,6.29657675431028e-06
log_return,0.0012162116094065496,6.06780696535004e-06
obv_ratio,0.0037787028381632277,5.997474603147388e-06
volume_change_3,0.0010188914038292874,3.5762744779636516e-06
historical_volatility_30,0.0008692393161627491,2.498293728662199e-06
stoch_k,0.00015866292090557213,2.05136223942225e-06
supertrend_direction,0.0,0.0
