Feature,XGBoost_Importance,XGBoost_SHAP
atr_ma100,0.025892407,0.0009281216508858928
roc_20,0.012691705,0.0007224451759585228
stoch_k,0.016981212,0.0006194763605870887
volume_ma50,0.021974647,0.0006088874713473141
adx,0.01911764,0.0005100784556586488
bb_lower,0.00973591,0.0004281937077231188
cmf,0.014826028,0.00030885905472097106
donchian_width,0.012529698,0.00029280824786633074
vwap_ratio,0.0094171455,0.00023504724276238788
macd_signal,0.01611429,0.00023046562316406759
stoch_rsi_d,0.017906997,0.00022831641762952555
obv_ratio,0.024264708,0.00022347579589393566
mfi,0.028983172,0.0002222216649128484
williams_r,0.032748047,0.00021577480626551812
bb_width,0.03220223,0.0002132469336703744
price_change_3,0.020591531,0.0001932130730576346
volume_ma20,0.024433302,0.00019237903791769243
sma100,0.0140057765,0.0001830536264801281
atr_ratio,0.016540442,0.00017741744639235407
stoch_rsi_k,0.009020574,0.00012405774215697193
macd,0.021186167,0.00011029670154406572
macd_diff,0.015260427,0.00010830179736523792
volume_ratio_20,0.030862618,0.0001045458970696672
vwap_24,0.02402011,9.49642397161928e-05
obv_ma20,0.011990122,9.41104941914312e-05
roc_3,0.02822294,9.403304606126376e-05
price_sma50_ratio,0.014124051,8.920201297926358e-05
rsi_ma5,0.023247084,8.642538026926126e-05
atr_pct,0.006433971,7.630031292260493e-05
volume_ratio_50,0.013236937,7.113623012002981e-05
dist_from_low_20,0.021427926,7.019434357072384e-05
stoch_d,0.021879165,6.654953435288327e-05
price_change_1,0.011578173,6.593544876892416e-05
volume_change_3,0.016603624,6.311791779837553e-05
tenkan_sen,0.006020664,6.287528885308079e-05
kijun_sen,0.013214175,6.214107006068147e-05
di_plus,0.0088570705,6.18531621869594e-05
price_ema9_ratio,0.0341247,5.905490133749584e-05
historical_volatility_30,0.017771797,5.749850336348376e-05
donchian_low_20,0.04430321,5.666267737964075e-05
bb_upper,0.014150043,5.12675225061149e-05
stoch_diff,0.014981947,5.039681860698768e-05
roc_10,0.012554358,4.849264847193674e-05
sma50,0.030623201,4.4851457167984446e-05
senkou_span_a,0.016812967,4.476861027521137e-05
obv,0.0065018726,4.385988257287325e-05
price_change_5,0.011229347,3.8483231097937753e-05
price_vs_kumo,0.013653799,3.202956393814246e-05
ema9,0.012588467,3.0513461159463587e-05
atr,0.019083615,3.0498515943916075e-05
supertrend,0.011838893,2.8310710196068355e-05
bb_pct,0.015625356,2.523154357007141e-05
di_minus,0.007512757,2.517792450865533e-05
sma20,0.014390128,2.2526662431731828e-05
roc_5,0.010224986,2.0487113779549078e-05
volume_change_1,0.017426027,1.6449471544516017e-05
ema9_ratio,0.006459893,5.997190199537501e-06
log_return,0.0,0.0
donchian_high_20,0.0,0.0
price_sma20_ratio,0.0,0.0
rsi,0.0,0.0
dist_from_high_20,0.0,0.0
cci,0.0,0.0
supertrend_direction,0.0,0.0
