Feature,XGBoost_Importance,XGBoost_SHAP
obv_ma20,0.001248195,8.87625716445181e-05
volume_ma20,0.18199432,7.359827515469968e-05
sma100,0.00038447394,2.374191985536809e-05
senkou_span_a,0.028412564,1.856400397630598e-05
atr_ratio,0.09824046,1.287096478047187e-05
adx,0.15693535,9.311896885114653e-06
donchian_high_20,0.053462423,7.497699513761996e-06
bb_width,0.07331785,3.804789175843524e-06
atr_pct,0.04391358,3.1880611096352877e-06
volume_change_3,0.053633563,2.774623720663749e-06
rsi,0.16300079,1.8280824716705862e-06
historical_volatility_30,0.0006384301,1.7009789073867672e-06
macd_signal,0.14481801,1.183883807677781e-06
volume_ma50,0.0,0.0
supertrend,0.0,0.0
stoch_diff,0.0,0.0
mfi,0.0,0.0
roc_10,0.0,0.0
obv_ratio,0.0,0.0
atr_ma100,0.0,0.0
donchian_width,0.0,0.0
dist_from_high_20,0.0,0.0
di_plus,0.0,0.0
di_minus,0.0,0.0
volume_ratio_50,0.0,0.0
