Feature,GradientBoosting_Importance,GradientBoosting_SHAP
atr_pct,0.13504032956502,0.0001249435048902522
atr_ratio,0.17774682437466352,8.603080608956001e-05
historical_volatility_30,0.05917869758614631,3.953080492932787e-05
supertrend,0.04358736461464089,3.317805806203088e-05
sma100,0.07523299172644608,2.63140744750982e-05
macd_signal,0.38454170513756364,1.2031407000370476e-05
donchian_width,0.005001430197028645,7.322587755933418e-06
di_minus,0.06536845269682844,3.4680742871773245e-06
dist_from_high_20,0.020879599690171124,3.26518700300896e-06
stoch_diff,0.008971826926920912,2.0034560009952366e-06
adx,0.015799431537421468,3.1046537664847504e-07
senkou_span_a,0.00437358477442802,2.449014455724828e-07
di_plus,0.002262422033992616,4.590805970917089e-08
rsi,0.002015339138728289,4.332875001087329e-08
volume_change_3,0.0,0.0
volume_ma50,0.0,0.0
volume_ma20,0.0,0.0
mfi,0.0,0.0
roc_10,0.0,0.0
obv_ratio,0.0,0.0
obv_ma20,0.0,0.0
atr_ma100,0.0,0.0
donchian_high_20,0.0,0.0
bb_width,0.0,0.0
volume_ratio_50,0.0,0.0
