Feature,LightGBM_Importance,LightGBM_SHAP
macd_signal,143,0.0008034218146111379
obv_ma20,187,0.0007987024748413674
atr_ratio,132,0.0007833055257153707
historical_volatility_30,157,0.0007750740988065061
volume_ma20,172,0.000681765165310712
donchian_high_20,106,0.0006510717533446897
senkou_span_a,107,0.0006510441759503759
dist_from_high_20,143,0.0005985341887558472
sma100,122,0.0005343618153309957
supertrend,132,0.0004919607420324743
atr_pct,103,0.0004879261356047004
di_plus,127,0.0004660337589720617
stoch_diff,134,0.0003742323593156823
roc_10,122,0.0003430663879383219
obv_ratio,146,0.0003424267535033928
volume_ma50,121,0.00032890769598735236
atr_ma100,135,0.00032856754454532874
bb_width,98,0.0002945201018175266
adx,157,0.00028036767771684093
volume_change_3,91,0.000269612752040498
donchian_width,98,0.00026885385109080297
rsi,58,0.0002640304374064052
di_minus,96,0.0002411713513206979
volume_ratio_50,117,0.00021725679352705755
mfi,99,0.00014621030408546755
