Feature,RandomForest_Importance,RandomForest_SHAP
atr_ratio,0.12026158580004301,0.00026251897200786964
senkou_span_a,0.025319125293703698,0.00023629453933297488
atr_pct,0.10317462998491578,0.00020833365123690728
historical_volatility_30,0.05092751850324692,0.00013149336648220493
donchian_high_20,0.022513831150419293,0.00011793180442271463
roc_10,0.08536653926524812,8.080507005680867e-05
obv_ma20,0.022234080541581606,8.01895531440747e-05
dist_from_high_20,0.03713651545438663,5.9834662481037554e-05
macd_signal,0.15782482306057846,5.393437103141664e-05
supertrend,0.04811202975018676,4.803287072256971e-05
adx,0.05774862344406733,4.7320226537787573e-05
rsi,0.014907446832304076,3.681125632027673e-05
di_minus,0.023210809141478835,2.8047432864186763e-05
stoch_diff,0.037525530130325134,2.4806742213671158e-05
obv_ratio,0.0429357581595272,2.175490467967603e-05
atr_ma100,0.017409032908407573,2.0799275619476334e-05
sma100,0.021183083794250428,1.6360874802945645e-05
mfi,0.009320075063136722,1.1394757164763814e-05
volume_ma20,0.02145917864380713,1.018627650598975e-05
volume_ratio_50,0.02150779891189008,8.574768709563592e-06
volume_ma50,0.02201679467318305,7.992761651495362e-06
donchian_width,0.013270034030286905,7.151418973880629e-06
volume_change_3,0.008764117794874914,7.073877122162068e-06
di_plus,0.00802605622649777,5.808078664934601e-06
bb_width,0.007844981441652587,4.192454567434993e-06
