Feature,XGBoost_Importance,XGBoost_SHAP
volume_ma20,0.2268539,4.1259848711713266e-05
obv_ma20,0.001977167,3.032313836435748e-05
adx,0.11647148,1.02916199144259e-05
senkou_span_a,0.002506259,8.846527171856893e-06
atr_ma100,0.15070032,5.769824483735212e-06
mfi,0.114649,4.354131113331784e-06
macd_signal,0.16195816,3.146799785364603e-06
dist_from_high_20,0.09818912,2.8658257956467967e-06
di_minus,0.12669462,1.6113387859571916e-06
di_plus,0.0,0.0
atr_ratio,0.0,0.0
volume_ma50,0.0,0.0
atr_pct,0.0,0.0
volume_change_3,0.0,0.0
supertrend,0.0,0.0
stoch_diff,0.0,0.0
sma100,0.0,0.0
roc_10,0.0,0.0
rsi,0.0,0.0
obv_ratio,0.0,0.0
bb_width,0.0,0.0
historical_volatility_30,0.0,0.0
donchian_width,0.0,0.0
donchian_high_20,0.0,0.0
volume_ratio_50,0.0,0.0
