Feature,GradientBoosting_Importance,GradientBoosting_SHAP
sma100,0.32785139404939667,0.0010735290239968162
senkou_span_a,0.06099243112494503,0.0006728458416529075
atr_pct,0.025328214289993708,0.0005441770749807756
atr_ma100,0.14150088593497445,0.0005318024774328827
donchian_width,0.07641967110398512,0.0003777911768456254
volume_ma50,0.020014294677906674,0.00030638818246674256
historical_volatility_30,0.04832900269989488,0.00021214998150875095
supertrend,0.06523465620549,0.0001506295652367683
obv_ma20,0.018212572882871356,0.00013014782618062508
dist_from_high_20,0.03018118379484494,0.00012780579192339913
atr_ratio,0.04144838176688083,0.00012282581765894637
di_plus,0.018965159036750202,9.40105524052321e-05
di_minus,0.022546058052390197,7.194470402311356e-05
macd_signal,0.005603233470762943,5.978670719418301e-05
bb_width,0.020994296199060774,5.0611559918967996e-05
adx,0.01813714509870613,3.463743178439076e-05
stoch_diff,0.010393838932048687,2.8148779272549378e-05
volume_ma20,0.0036102328304484844,2.6924341684154107e-05
roc_10,0.027979033142623008,2.3692086176490497e-05
volume_change_3,0.006705881115107117,1.376702545474999e-05
donchian_high_20,0.00586844705490508,1.2669338228374443e-05
volume_ratio_50,0.0015100918634204043,4.456148443379154e-06
mfi,0.0021491383471988704,4.122295162380801e-06
rsi,2.4756325394538044e-05,4.5463901561713066e-07
obv_ratio,0.0,0.0
