Feature,LightGBM_Importance,LightGBM_SHAP
sma100,163,0.0034877479651349115
atr_ma100,129,0.002088561931450302
donchian_width,101,0.0014248383229612483
adx,122,0.0012905210024241572
volume_ma50,106,0.001216084293912313
rsi,114,0.0011525443433714306
di_minus,118,0.001100395579080532
di_plus,110,0.0010452996034584975
macd_signal,108,0.000989715832289979
dist_from_high_20,144,0.0009731161683224318
supertrend,94,0.0008711892958860459
stoch_diff,103,0.0008090071513692002
atr_ratio,98,0.0007672964323906396
senkou_span_a,97,0.0006905837622406575
roc_10,135,0.0006549026624909477
bb_width,102,0.0006507359913547208
historical_volatility_30,98,0.0006483465466779568
obv_ma20,77,0.0006049211960762372
volume_ratio_50,116,0.000575585484830141
donchian_high_20,26,0.0005652985126901775
atr_pct,86,0.00056441281983316
volume_ma20,85,0.0005369336773997942
obv_ratio,110,0.0005290673991637554
volume_change_3,87,0.0004123330831589978
mfi,102,0.00034631800783410736
