Feature,RandomForest_Importance,RandomForest_SHAP
sma100,0.1323373537307243,0.0012445811627654995
di_minus,0.09910263306486115,0.0009398762600180618
supertrend,0.1640044292309649,0.000502669652866373
atr_ma100,0.072567482336723,0.00043168259457869104
di_plus,0.04846204637822566,0.00029146329314626204
bb_width,0.07634755474087046,0.00018368378958150204
donchian_width,0.059290938435065395,0.00016190321053673957
stoch_diff,0.047088255616256174,0.00011699220754860495
volume_ma50,0.012528355542691159,8.757178645167468e-05
volume_ratio_50,0.07151259162164889,8.302603724272251e-05
macd_signal,0.036365603710998055,7.944535655303175e-05
atr_pct,0.013260662011518388,7.806961196643898e-05
dist_from_high_20,0.05159471382865351,7.181151119569766e-05
obv_ma20,0.022987330619821448,6.273005323594715e-05
donchian_high_20,0.005223416794195141,5.3107675532732344e-05
mfi,0.01673270701106057,4.744063857164565e-05
rsi,0.008488248885034648,4.664302686782195e-05
roc_10,0.017470580767710728,4.543433437720765e-05
historical_volatility_30,0.010886288429054225,4.155321987309166e-05
atr_ratio,0.00791573237947183,3.092378063580953e-05
volume_ma20,0.004776452960874148,2.0152635227225953e-05
obv_ratio,0.004740323454206637,1.705711457314016e-05
volume_change_3,0.0015367917449787994,1.6827020387240083e-05
senkou_span_a,0.007249805882407943,1.6709575254134507e-05
adx,0.007529700821982861,1.4778265246212567e-05
