Feature,XGBoost_Importance,XGBoost_SHAP
volume_ma50,0.04717482,0.000413007640579318
atr_ma100,0.048273504,0.00022346106068386586
adx,0.035062324,0.00018303831675463376
obv_ratio,0.02035532,0.0001395810433657092
donchian_width,0.09657475,0.00011336685514052289
senkou_span_a,0.0256188,0.00010546375669575936
macd_signal,0.053837396,0.00010034105202520296
sma100,0.02175074,9.873934188510653e-05
bb_width,0.041311227,9.539189516102211e-05
di_plus,0.040314082,9.136091752397174e-05
obv_ma20,0.050674506,8.411711686199184e-05
historical_volatility_30,0.07086918,5.169530589520096e-05
atr_pct,0.09446307,2.454149563146508e-05
stoch_diff,0.0648439,2.0704846038048393e-05
mfi,0.03733564,1.9110242748327988e-05
roc_10,0.035141837,1.2817024248651648e-05
atr_ratio,0.05050903,1.1786100764724668e-05
volume_ma20,0.027495224,1.0969471240080467e-05
supertrend,0.039728925,9.992069838766974e-06
volume_change_3,0.011238555,6.539227140642237e-06
di_minus,0.041765023,6.3217128774161185e-06
dist_from_high_20,0.012739248,2.6581512463161574e-06
volume_ratio_50,0.03292285,1.2909899284893471e-06
rsi,0.0,0.0
donchian_high_20,0.0,0.0
